"titles" "pubdates" "links" "Trade.Time" "Last" "Trade.Time.1" "Last.1" "Trade.Time.2" "Last.2"
53 "NetSuite shares on roller coaster ahead of $9.3 billion Oracle deal deadline" "Fri, 04 Nov 2016 14:37:14 GMT" NA "Nov 4, 11:29AM EDT" 11.59 "Nov 4, 11:49AM EDT" 11.57 "Nov 4, 12:29PM EDT"
54 "Ford Canada labor deal investment mainly for engines-sources" "Fri, 04 Nov 2016 15:25:58 GMT" NA "Nov 4, 11:30AM EDT" 11.48 "Nov 4, 11:49AM EDT" 11.47 "Nov 4, 12:30PM EDT"
55 "Buffetts Berkshire Hathaway Expected to See Stable Growth in 3Q16" "Fri, 04 Nov 2016 15:25:14 GMT" NA "Nov 4, 11:30AM EDT" 143.24 "Nov 4, 11:50AM EDT" 143.34 "Nov 4, 12:30PM EDT"
56 "Citigroup: Trump win would cause immediate stock drop" "Fri, 04 Nov 2016 11:18:08 EDT" "http://rss.cnn.com/~r/rss/money_topstories/~3/3niW3G4tGaM/index.html" "Nov 4, 11:35AM EDT" 48.67 "Nov 4, 11:55AM EDT" 48.6 "Nov 4, 12:35PM EDT"
57 "Why Chesapeake Energy Can Double" "Fri, 04 Nov 2016 15:32:00 GMT" NA "Nov 4, 11:39AM EDT" 5.34 "Nov 4, 11:59AM EDT" 5.32 "Nov 4, 12:39PM EDT"
58 "2017 F-150 Raptor Ordering Begins, Online and In-Line at Ford Dealers: SuperCrew, Luxury Group with Technology Package in Shadow Black is the Top Configuration" "Fri, 04 Nov 2016 15:41:05 GMT" NA "Nov 4, 11:43AM EDT" 11.45 "Nov 4, 12:03PM EDT" 11.45 "Nov 4, 12:43PM EDT"
59 "Why Chesapeake Energy Can Double" "Fri, 04 Nov 2016 15:32:00 GMT" NA "Nov 4, 11:44AM EDT" 45.12 "Nov 4, 12:04PM EDT" 45.03 "Nov 4, 12:44PM EDT"
60 "Ford Canada labor deal investment mainly for engines-sources" "Fri, 04 Nov 2016 15:25:58 GMT" NA "Nov 4, 11:44AM EDT" 38.44 "Nov 4, 12:03PM EDT" 38.49 "Nov 4, 12:44PM EDT"
61 "Buffetts Berkshire Hathaway Expected to See Stable Growth in 3Q16" "Fri, 04 Nov 2016 15:25:14 GMT" NA "Nov 4, 11:44AM EDT" 5.37 "Nov 4, 12:04PM EDT" 5.36 "Nov 4, 12:44PM EDT"
62 "Heres Why ENSCO PLC (ESV), Yum! Brands, Inc. (YUM), and Three Other Stocks Are Trending Today" "Fri, 04 Nov 2016 15:10:49 GMT" NA "Nov 4, 11:44AM EDT" 36.6 "Nov 4, 12:05PM EDT" 36.66 "Nov 4, 12:44PM EDT"
63 "[$$] If Oracle-NetSuite Dies, Three Stocks Benefit" "Fri, 04 Nov 2016 15:09:00 GMT" NA "Nov 4, 11:44AM EDT" 11.47 "Nov 4, 12:04PM EDT" 11.45 "Nov 4, 12:44PM EDT"
64 "Nabors Industries Ltd. :NBR-US: Earnings Analysis: Q3, 2016 By the Numbers : November 4, 2016" "Fri, 04 Nov 2016 15:08:05 GMT" NA "Nov 4, 11:44AM EDT" 7.4 "Nov 4, 12:04PM EDT" 7.34 "Nov 4, 12:43PM EDT"
65 "Why AT&Ts EBITDA Margin Could Continue to Grow" "Fri, 04 Nov 2016 15:04:33 GMT" NA "Nov 4, 11:44AM EDT" 13.9 "Nov 4, 12:04PM EDT" 13.77 "Nov 4, 12:44PM EDT"
66 "Even the Lowest Target Price Means Upside for Marathon Oil" "Fri, 04 Nov 2016 15:04:21 GMT" NA "Nov 4, 11:44AM EDT" 42.67 "Nov 4, 12:04PM EDT" 42.69 "Nov 4, 12:44PM EDT"
67 "Pa. Treasury suspends Wells Fargo from trading over fake accounts scandal" "Fri, 04 Nov 2016 14:58:22 GMT" NA "Nov 4, 11:44AM EDT" 11.52 "Nov 4, 12:04PM EDT" 11.55 "Nov 4, 12:44PM EDT"
68 "U.S. tentatively grants antitrust approval for Delta, Aeromexico alliance" "Fri, 04 Nov 2016 14:56:41 GMT" NA "Nov 4, 11:44AM EDT" 143.33 "Nov 4, 12:04PM EDT" 143.32 "Nov 4, 12:44PM EDT"
69 "2017 F-150 Raptor Ordering Begins, Online and In-Line at Ford Dealers: SuperCrew, Luxury Group with Technology Package in Shadow Black is the Top Configuration" "Fri, 04 Nov 2016 15:41:05 GMT" NA "Nov 4, 11:45AM EDT" 11.47 "Nov 4, 12:05PM EDT" 11.45 "Nov 4, 12:46PM EDT"
